flag,href,name,proven,source,target
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/ChisquareErlang.pdf,ChisquareErlang,,Chisquare,Erlang
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/LomaxLoglogistic.pdf,LomaxLoglogistic,,Lomax,Loglogistic
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/ExponentialErlang.pdf,ExponentialErlang,,Exponential,Erlang
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/DoublynoncentraltNoncentralt.pdf,DoublynoncentraltNoncentralt,,Doublynoncentralt,Noncentralt
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/StandardcauchyHyperbolicsecant.pdf,StandardcauchyHyperbolicsecant,,Standardcauchy,Hyperbolicsecant
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/FChisquare.pdf,FChisquare,,F,Chisquare
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/BinomialNormal.pdf,BinomialNormal,,Binomial,Normal
T,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/NormalStandardnormalT.pdf,NormalStandardnormalT,,Normal,Standardnormal
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/BetaNormal.pdf,BetaNormal,,Beta,Normal
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/GammaNormal1.pdf,GammaNormal1,,Gamma,Normal
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/StandardnormalStandardcauchy.pdf,StandardnormalStandardcauchy,,Standardnormal,Standardcauchy
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/WeibullExtremevalue.pdf,WeibullExtremevalue,,Weibull,Extremevalue
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/StandarduniformLoglogistic.pdf,StandarduniformLoglogistic,,Standarduniform,Loglogistic
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/StandarduniformStandardtriangular.pdf,StandarduniformStandardtriangular,,Standarduniform,Standardtriangular
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/PascalBetapascal.pdf,PascalBetapascal,,Pascal,Betapascal
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/DiscreteweibullGeometric.pdf,DiscreteweibullGeometric,,Discreteweibull,Geometric
