href,source,flag,name,target
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/HyperexponentialExponential.pdf,Hyperexponential,,HyperexponentialExponential,Exponential
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/HypergeometricBinomial.pdf,Hypergeometric,,HypergeometricBinomial,Binomial
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/HypoexponentialErlang.pdf,Hypoexponential,,HypoexponentialErlang,Erlang
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/IDBExponential.pdf,IDB,,IDBExponential,Exponential
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/IDBRayleigh.pdf,IDB,,IDBRayleigh,Rayleigh
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/InversegaussianChisquare.pdf,Inversegaussian,,InversegaussianChisquare,Chisquare
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/InversegaussianStandardnormal.pdf,Inversegaussian,,InversegaussianStandardnormal,Standardnormal
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/InversegaussianStandardwald.pdf,Inversegaussian,,InversegaussianStandardwald,Standardwald
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/KolmogorovsmirnovUniform.pdf,Kolmogorovsmirnov,,KolmogorovsmirnovUniform,Uniform
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/LaplaceError.pdf,Laplace,,LaplaceError,Error
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/LaplaceExponential.pdf,Laplace,,LaplaceExponential,Exponential
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/LogisticexponentialExponential.pdf,Logisticexponential,,LogisticexponentialExponential,Exponential
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/LoglogisticLogistic.pdf,Loglogistic,,LoglogisticLogistic,Logistic
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/LoglogisticLomax.pdf,Loglogistic,,LoglogisticLomax,Lomax
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/LomaxLoglogistic.pdf,Lomax,,LomaxLoglogistic,Loglogistic
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/MakehamGompertz.pdf,Makeham,,MakehamGompertz,Gompertz
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/MinimaxStandardpower.pdf,Minimax,,MinimaxStandardpower,Standardpower
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/MuthExponential.pdf,Muth,,MuthExponential,Exponential
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/NegativehypergeometricBinomial.pdf,Negativehypergeometric,,NegativehypergeometricBinomial,Binomial
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/NoncentralbetaBeta.pdf,Noncentralbeta,,NoncentralbetaBeta,Beta
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/NoncentralchisquareChisquare.pdf,Noncentralchisquare,,NoncentralchisquareChisquare,Chisquare
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/NoncentralfF.pdf,Noncentralf,,NoncentralfF,F
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/NoncentraltT.pdf,Noncentralt,,NoncentraltT,T
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/NormalChisquare.pdf,Normal,,NormalChisquare,Chisquare
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/NormalGammanormal.pdf,Normal,,NormalGammanormal,Gammanormal
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/NormalLognormal.pdf,Normal,,NormalLognormal,Lognormal
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/NormalNoncentralchisquare.pdf,Normal,,NormalNoncentralchisquare,Noncentralchisquare
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/NormalStandardnormalB.pdf,Normal,B,NormalStandardnormalB,Standardnormal
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/NormalStandardnormalT.pdf,Normal,T,NormalStandardnormalT,Standardnormal
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/ParetoExponential.pdf,Pareto,,ParetoExponential,Exponential
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/PascalBetapascal.pdf,Pascal,,PascalBetapascal,Betapascal
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/PascalGeometric.pdf,Pascal,,PascalGeometric,Geometric
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/PascalNormal.pdf,Pascal,,PascalNormal,Normal
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/PascalPoisson.pdf,Pascal,,PascalPoisson,Poisson
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/PoissonGammapoisson.pdf,Poisson,,PoissonGammapoisson,Gammapoisson
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/PoissonNormal.pdf,Poisson,,PoissonNormal,Normal
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/PolyaBinomial.pdf,Polya,,PolyaBinomial,Binomial
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/PowerStandardpower.pdf,Power,,PowerStandardpower,Standardpower
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/PowerseriesLogarithm.pdf,Powerseries,,PowerseriesLogarithm,Logarithm
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/PowerseriesPascal.pdf,Powerseries,,PowerseriesPascal,Pascal
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/PowerseriesPoisson.pdf,Powerseries,,PowerseriesPoisson,Poisson
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/RayleighExponential.pdf,Rayleigh,,RayleighExponential,Exponential
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/StandardcauchyCauchy.pdf,Standardcauchy,,StandardcauchyCauchy,Cauchy
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/StandardcauchyHyperbolicsecant.pdf,Standardcauchy,,StandardcauchyHyperbolicsecant,Hyperbolicsecant
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/StandardnormalChi.pdf,Standardnormal,,StandardnormalChi,Chi
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/StandardnormalChisquare.pdf,Standardnormal,,StandardnormalChisquare,Chisquare
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/StandardnormalNormal.pdf,Standardnormal,,StandardnormalNormal,Normal
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/StandardnormalStandardcauchy.pdf,Standardnormal,,StandardnormalStandardcauchy,Standardcauchy
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/StandardpowerStandarduniform.pdf,Standardpower,,StandardpowerStandarduniform,Standarduniform
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/StandarduniformBenford.pdf,Standarduniform,,StandarduniformBenford,Benford
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/StandarduniformBeta.pdf,Standarduniform,,StandarduniformBeta,Beta
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/StandarduniformExponentialB.pdf,Standarduniform,B,StandarduniformExponentialB,Exponential
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/StandarduniformExponentialT.pdf,Standarduniform,T,StandarduniformExponentialT,Exponential
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/StandarduniformExponentialpower.pdf,Standarduniform,,StandarduniformExponentialpower,Exponentialpower
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/StandarduniformGompertz.pdf,Standarduniform,,StandarduniformGompertz,Gompertz
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/StandarduniformLogisticexponential.pdf,Standarduniform,,StandarduniformLogisticexponential,Logisticexponential
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/StandarduniformLoglogistic.pdf,Standarduniform,,StandarduniformLoglogistic,Loglogistic
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/StandarduniformPareto.pdf,Standarduniform,,StandarduniformPareto,Pareto
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/StandarduniformStandardpowerB.pdf,Standarduniform,B,StandarduniformStandardpowerB,Standardpower
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/StandarduniformStandardpowerT.pdf,Standarduniform,T,StandarduniformStandardpowerT,Standardpower
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/StandarduniformStandardtriangular.pdf,Standarduniform,,StandarduniformStandardtriangular,Standardtriangular
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/StandarduniformUniform.pdf,Standarduniform,,StandarduniformUniform,Uniform
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/TF.pdf,T,,TF,F
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/TSPTriangular.pdf,TSP,,TSPTriangular,Triangular
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/TSPUniform.pdf,TSP,,TSPUniform,Uniform
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/TStandardcauchy.pdf,T,,TStandardcauchy,Standardcauchy
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/TStandardnormal.pdf,T,,TStandardnormal,Standardnormal
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/TriangularStandardtriangular.pdf,Triangular,,TriangularStandardtriangular,Standardtriangular
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/UniformKolmogorovsmirnov.pdf,Uniform,,UniformKolmogorovsmirnov,Kolmogorovsmirnov
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/UniformStandarduniform.pdf,Uniform,,UniformStandarduniform,Standarduniform
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/VonmisesUniform.pdf,Vonmises,,VonmisesUniform,Uniform
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/WeibullExponential.pdf,Weibull,,WeibullExponential,Exponential
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/WeibullExtremevalue.pdf,Weibull,,WeibullExtremevalue,Extremevalue
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/WeibullRayleigh.pdf,Weibull,,WeibullRayleigh,Rayleigh
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/ZipfDiscreteuniform.pdf,Zipf,,ZipfDiscreteuniform,Discreteuniform
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/ZipfZeta.pdf,Zipf,,ZipfZeta,Zeta
